的	〔白勹丶 · unid〕
嘌	〔口覀示 · dvfs〕
擤	〔扌自田丌 · uoql〕
矽	〔石夕 · mlx〕
篑	〔⺮贝 · rcob〕
嵊	〔山禾匕 · vxav〕
枳	〔木口八 · edhb〕
珩	〔王行 · npx〕
痼	〔疒囗古 · arcg〕
笾	〔⺮力辶 · rsuc〕
袢	〔衤丷 · thus〕
逄	〔夂㐄辶 · hvuc〕
鸹	〔舌鸟 · axn〕
呋	〔口夫 · dhf〕
撺	〔扌穴口丨 · uedg〕
煅	〔火一殳 · cufr〕
芡	〔艹欠 · leq〕
讧	〔讠工 · sug〕
贽	〔扌九丶贝 · ukio〕
锶	〔钅田心 · zqhx〕
黾	〔黾 · dm dmm〕
幂	〔冖日大巾 · womr〕
樗	〔木⻗二ㄅ · etma〕
瞽	〔支目 · hcqm〕
砉	〔丰石 · ams〕
縻	〔麻糸 · zis〕
蚋	〔虫冂人 · cmjr〕
蜍	〔虫人 · cjxh〕
跆	〔⻊厶口 · pkdk〕
亳	〔丿七 · gtrq〕
囵	〔囗仑 · rjl〕
怫	〔忄弗 · htf〕
桉	〔木宀女 · ewbn〕
祢	〔礻小 · fxyx〕
阌	〔门爫冖又 · aywr〕
虺	〔一儿虫 · fpcc〕
傈	〔亻覀木 · jvem〕
囹	〔囗亽龴 · rjks〕
旯	〔日九 · okj〕
肼	〔月井 · vqj〕
腭	〔月口口ㄅ · vdda〕
魈	〔鬼⺌⺝ · ayvy〕
卮	〔⺁一⺋ · xfzj〕
忪	〔忄八厶 · hhks〕
朐	〔月句 · vgj〕
滁	〔氵阝人 · ktjx〕
笪	〔⺮日一 · rofi〕
簟	〔⺮覀日十 · rvon〕
衿	〔衤亽 · tjae〕
侔	〔亻厶牛 · jkqn〕
堀	〔土尸屮凵 · gcsm〕
睚	〔目厂土土 · qxgg〕
箧	〔⺮匚夫丷 · rnhh〕
荛	〔艹一儿 · lpfp〕
裢	〔衤车辶 · tyuc〕
貉	〔豸各 · msg〕
趸	〔一足 · fppu〕
镊	〔钅耳又又 · zqrr〕
闫	〔门三 · ats〕
侪	〔亻齐 · jqq〕
悒	〔忄口巴 · hdmb〕
汊	〔氵又丶 · krid〕
泫	〔氵亠幺 · kziy〕
笸	〔⺮匚口 · rndk〕
雎	〔且隹 · fui〕
鳟	〔鱼丷酉寸 · whyk〕
榧	〔木匚非 · enrf〕
獒	〔龶刀攵犬 · aphm〕
跎	〔⻊宀匕 · pwvb〕
阃	〔门囗木 · arem〕
黢	〔厶八夊 · pkhh〕
喁	〔口田⽱ · dqvr〕
徜	〔彳尚 · wss〕
枥	〔木厂力 · exsl〕
渑	〔氵黾 · kdm〕
牖	〔片户甫 · amnf〕
佤	〔亻瓦 · jrw〕
嗍	〔口䒑月 · dhsv〕
庥	〔广亻木 · xjem〕
筮	〔⺮工人人 · rujj〕
箝	〔⺮扌甘 · ruzg〕
缶	〔缶 · af aff〕
餮	〔歹人彡食 · gjeq〕
嗉	〔口龶糸 · dais〕
堋	〔土月月 · gvvy〕
峄	〔山又 · vrus〕
拊	〔扌亻寸 · ujkc〕
昀	〔日勹冫 · onwb〕
浯	〔氵五口 · kwdk〕
糅	〔米予丿木 · pite〕
綦	〔糸 · zhis〕
罴	〔罒土厶灬 · ygkc〕
镛	〔钅广肀 · zxbt〕
馓	〔饣龷⺝攵 · qlvh〕
驽	〔女又马 · brnm〕
倬	〔亻⺊日十 · jyon〕
唿	〔口勹心 · dneh〕
擘	〔尸口辛手 · cdnu〕
柘	〔木石 · ems〕
蜢	〔虫子皿 · cham〕
螈	〔虫厂白小 · cxuy〕
柢	〔木氏丶 · ebid〕
茴	〔艹囗口 · lrdk〕
蟛	〔虫彡 · ches〕
饴	〔饣厶口 · qkdk〕
鸱	〔氏丶鸟 · bixn〕
冼	〔冫⺧儿 · wqpe〕
嘏	〔古二又 · ccmr〕
堇	〔廿口龶 · ldaf〕
岿	〔山リ彐 · vpbj〕
栀	〔木⺁一⺋ · exfz〕
氘	〔气 · vpd〕
氪	〔气古儿 · vcpe〕
硌	〔石各 · msg〕
苎	〔艹宀一 · lwfi〕
咴	〔口𠂇火 · dnch〕
寤	〔宀爿五口 · wawd〕
搿	〔手亼口手 · ujdu〕
袷	〔衤亼口 · tjdk〕
裾	〔衤尸古 · tccg〕
醢	〔酉𠂇口皿 · ynda〕
倥	〔亻穴工 · jeug〕
珐	〔王土厶 · ngks〕
碓	〔石隹 · mui〕
笊	〔⺮爪 · rya〕
舻	〔舟⺊尸 · iycs〕
跞	〔⻊小 · pbyx〕
跹	〔⻊千辶 · pluc〕
醚	〔酉米辶 · ypuc〕
髂	〔骨宀各 · fwsg〕
鹕	〔古月鸟 · cvxn〕
楮	〔木耂日 · eqor〕
膈	〔月鬲 · vng〕
郃	〔亼口阝 · jdte〕
铄	〔钅小 · zbyx〕
矬	〔矢人人土 · ojjg〕
砩	〔石弗 · mtf〕
艏	〔舟䒑自 · ihoi〕
苴	〔艹且 · lfq〕
荏	〔艹亻㇒士 · ljtg〕
螯	〔龶刀攵虫 · aphc〕
圮	〔土己 · gvj〕
帙	〔巾丿夫 · rthf〕
旆	〔方𠂉一巾 · lefr〕
桡	〔木一儿 · epfp〕
溆	〔氵人又 · kjxr〕
潴	〔氵犭耂日 · kmqo〕
瘘	〔疒米女 · apbn〕
缒	〔纟丿㠯辶 · itku〕
芰	〔艹支 · lci〕
诎	〔讠屮凵 · ssmk〕
锑	〔钅丷𢎨 · zhtf〕
椴	〔木一殳 · eufr〕
粳	〔米一日 · pfob〕
苄	〔艹亠卜 · lzyb〕
陟	〔阝止 · tssi〕
刖	〔月刂 · vpd〕
啁	〔口冂土口 · dmgd〕
悭	〔忄〢又土 · hprg〕
熘	〔火田 · cbqt〕
锕	〔钅阝可 · ztzk〕
鹂	〔一鸟 · fvvx〕
哞	〔口厶牛 · dkqn〕
滟	〔氵丰⺈巴 · kaxm〕
疝	〔疒山 · avs〕
莸	〔艹犭尤 · lmoy〕
雠	〔讠隹隹 · suui〕
鹩	〔大丷日鸟 · mhox〕
嗾	〔口方𠂉矢 · dleo〕
稞	〔禾田木 · xqem〕
蛱	〔虫夫丷 · chhb〕
赅	〔贝亥 · okh〕
鲋	〔鱼亻寸 · wjkc〕
匏	〔大二ㄅ巳 · mmav〕
奁	〔大匸㐅 · mnbi〕
崤	〔山㐅𠂇⺝ · vbnv〕
怙	〔忄古 · hcg〕
砀	〔石ㄋ · maes〕
肄	〔匕矢聿 · vobv〕
蠊	〔虫广䒑 · cxhc〕
裣	〔衤亼⺍一 · tjkf〕
鹆	〔谷鸟 · hxn〕
鼬	〔鼠由 · pdy〕
炝	〔火人⺋ · cjzj〕
疖	〔疒卩 · azj〕
硷	〔石亼⺍一 · mjkf〕
籴	〔入米 · jpm〕
芟	〔艹殳 · lrs〕
愀	〔忄禾火 · hxch〕
沆	〔氵亠几 · kzoj〕
痍	〔疒大弓 · ambg〕
硪	〔石丿扌戈 · mtup〕
苤	〔艹不一 · lcfi〕
蔻	〔艹宀二攴 · lwmh〕
蜮	〔虫戈口一 · cpdf〕
蹉	〔⻊⺶工 · pgug〕
鳊	〔鱼户 · wmic〕
僳	〔亻覀米 · jvpm〕
嗌	〔口皿 · dkam〕
崃	〔山未丷 · vahb〕
崾	〔山覀女 · vvbn〕
薜	〔艹尸口辛 · lcdn〕
跗	〔⻊亻寸 · pjkc〕
韫	〔韦日皿 · goam〕
卣	〔⺊囗コ · yrnk〕
浞	〔氵足 · kpu〕
猢	〔犭古月 · mcvy〕
獯	〔犭千黑 · mlph〕
瘿	〔疒贝贝女 · aoob〕
艉	〔舟尸毛 · icvm〕
訇	〔勹言 · nsy〕
踯	〔⻊䒑大阝 · phmt〕
醍	〔酉日 · yots〕
雱	〔⻗方 · tlf〕
僦	〔亻小尤 · jgyo〕
嫒	〔女爫冖又 · bywr〕
畛	〔田人彡 · qjes〕
硐	〔石冂一口 · mmfd〕
缯	〔纟丷囗曰 · ihro〕
胨	〔月小 · vryx〕
鄄	〔覀土阝 · vgte〕
锸	〔钅千臼 · zlpj〕
佶	〔亻士口 · jgdk〕
埙	〔土口贝 · gdob〕
嬖	〔尸口辛女 · cdnb〕
尕	〔乃小 · vyx〕
徉	〔彳羊 · wgy〕
怛	〔忄日一 · hofi〕
槲	〔木⺈用斗 · extj〕
獬	〔犭⺈用牛 · mxtq〕
脲	〔月尸水 · vcks〕
鞴	〔革龷丿 · tltt〕
鼍	〔口口田黾 · ddqd〕
乇	〔丿七 · trq〕
噻	〔口宀土 · dwqg〕
婧	〔女龶⺝ · bavy〕
嵴	〔山冫⺝ · vwwv〕
涑	〔氵束 · kxs〕
缃	〔纟木目 · ieqm〕
谰	〔讠门束丷 · saxh〕
粜	〔屮凵米 · smpm〕
铧	〔钅亻十 · zjvn〕
晷	〔日夂卜口 · ohyd〕
狯	〔犭人云 · mjby〕
狲	〔犭子小 · mhyx〕
畈	〔田⺁又 · qxry〕
笱	〔⺮句 · rgj〕
逦	〔一辶 · fvvu〕
钪	〔钅亠几 · zzoj〕
圄	〔囗五口 · rwdk〕
榇	〔木立木 · eiem〕
焐	〔火五口 · cwdk〕
肫	〔月一 · vfsc〕
膂	〔方𠂉⺝ · letv〕
鲅	〔鱼𠂇又丶 · wnri〕
鲱	〔鱼非 · wrf〕
凼	〔水凵 · kmk〕
珲	〔王冖车 · nwyc〕
锛	〔钅大十廾 · zmnl〕
伧	〔亻人⺋ · jjzj〕
劢	〔一力 · fpsl〕
昴	〔日卯 · obm〕
猱	〔犭予丿木 · mite〕
癯	〔疒目目隹 · aqqu〕
盱	〔目一 · qfns〕
觳	〔士冖一殳 · gwfr〕
鲮	〔鱼土八夊 · wghh〕
宄	〔宀九 · wkj〕
椁	〔木子 · eghi〕
笄	〔⺮一廾 · rflc〕
伥	〔亻长 · jpc〕
厍	〔厂车 · xyc〕
砻	〔龙石 · tms〕
荠	〔艹齐 · lqq〕
蛘	〔虫羊 · cgy〕
塬	〔土厂白小 · gxuy〕
挹	〔扌口巴 · udmb〕
菽	〔艹⺊一又 · lyfr〕
轳	〔⺊尸 · yycs〕
鹨	〔羽人彡鸟 · zjex〕
亓	〔二 · mpd〕
倮	〔亻田木 · jqem〕
儋	〔亻⺈厂言 · jxxs〕
捌	〔扌口力刂 · udsp〕
氡	〔气夂⺀ · vhwb〕
胗	〔月人彡 · vjes〕
钼	〔钅目 · zqm〕
锆	〔钅⺧口 · zqdk〕
鹁	〔十冖子鸟 · nwhx〕
嚯	〔口⻗隹 · dtui〕
郾	〔匸日女阝 · nobt〕
铖	〔钅戊㇆ · znae〕
鞒	〔革丿大 · ttmp〕
鲠	〔鱼一日 · wfob〕
焯	〔火⺊日十 · cyon〕
锗	〔钅耂日 · zqor〕
陉	〔阝ス工 · trug〕
隳	〔阝𠂇工⺗ · tnuh〕
嘬	〔口曰耳又 · doqr〕
杓	〔木勹丶 · enid〕
枵	〔木口一ㄅ · edfa〕
畚	〔厶大田 · kmqt〕
盍	〔土厶皿 · gkam〕
硗	〔石一儿 · mpfp〕
肟	〔月二ㄅ · vmae〕
虿	〔一虫 · fpcc〕
裥	〔衤门日 · taor〕
鲰	〔鱼耳又 · wqry〕
兕	〔一儿 · mfpe〕
垓	〔土亥 · gkh〕
檩	〔木亠囗示 · ezrf〕
熳	〔火曰罒又 · coyr〕
邨	〔一阝 · fste〕
鬯	〔凵匕 · pmvb〕
黼	〔业㡀甫 · cfnf〕
狍	〔犭勹巳 · mnvs〕
瓠	〔大二ㄅ瓜 · mmay〕
蜉	〔虫爫子 · cyhi〕
赀	〔匕贝 · svob〕
跣	〔⻊⺧儿 · pqpe〕
龀	〔齿 · lvb〕
澍	〔氵壴寸 · khkc〕
碡	〔石龶母 · makm〕
缱	〔纟㠯辶 · icku〕
蛑	〔虫厶牛 · ckqn〕
诶	〔讠厶矢 · skos〕
锩	〔钅丷夫⺋ · zhhz〕
镧	〔钅门束丷 · zaxh〕
馃	〔饣田木 · qqem〕
鬟	〔镸彡罒 · peyt〕
孑	〔了㇀ · rfi〕
嵯	〔山⺶工 · vgug〕
煸	〔火户 · cmic〕
篪	〔⺮⺁虎 · rxzh〕
绲	〔纟日匕 · iovv〕
罘	〔罒不 · ycb〕
耪	〔耒冖方 · aiwl〕
茔	〔艹冖土 · lwgt〕
蹚	〔⻊土 · psgt〕
鸫	〔小鸟 · ryxn〕
聃	〔耳冂土 · qmgt〕
谇	〔讠亠人十 · szjn〕
呖	〔口厂力 · dxsl〕
慊	〔忄䒑 · hhbc〕
戆	〔音十夂心 · xnhh〕
炅	〔日火 · och〕
胼	〔月䒑廾 · vhlc〕
菔	〔艹月卩又 · lvzr〕
菹	〔艹氵且 · lkfq〕
镞	〔钅方𠂉矢 · zleo〕
唢	〔口⺌贝 · dyob〕
砗	〔石车 · myc〕
莼	〔艹纟一 · lifs〕
萋	〔艹一女 · lfbb〕
辚	〔米夕㐄 · yplv〕
鼙	〔支白十 · hcun〕
傧	〔亻宀 · jwth〕
扦	〔扌千 · ulq〕
赉	〔未丷贝 · ahob〕
铍	〔钅皮 · zrp〕
戗	〔人⺋戈 · jzpg〕
摭	〔扌广廿灬 · uxlc〕
楸	〔木禾火 · exch〕
洳	〔氵女口 · kbdk〕
萘	〔艹大示 · lmfs〕
蘩	〔艹𠂉母糸 · leki〕
躅	〔⻊罒勹虫 · pync〕
鲀	〔鱼一 · wfsc〕
嶝	〔山癶豆 · vhzd〕
羰	〔⺶山𠂇火 · gvnc〕
胂	〔月日丨 · vogs〕
蘖	〔艹丿㠯木 · ltke〕
诼	〔讠豕丶 · sjid〕
钕	〔钅女 · zbn〕
鲡	〔鱼一 · wfvv〕
堞	〔土廿㇗木 · glae〕
啉	〔口木木 · deem〕
疃	〔田立里 · qidl〕
篁	〔⺮白王 · runw〕
蚬	〔虫见 · cej〕
钋	〔钅卜 · zyb〕
钲	〔钅一止 · zfsi〕
楝	〔木束丷 · exhb〕
芤	〔艹子乚 · lhae〕
镆	〔钅艹日大 · zlom〕
呒	〔口无 · ddu〕
楦	〔木宀一一 · ewff〕
畀	〔田丌 · qlc〕
痱	〔疒非 · arf〕
鸶	〔纟纟鸟 · iixn〕
垡	〔亻戈土 · jpgt〕
缣	〔纟䒑 · ihbc〕
阊	〔门日曰 · aoor〕
骱	〔骨人 · fjpd〕
偾	〔亻十艹贝 · jnlo〕
咁	〔口甘 · dzg〕
廛	〔广里八土 · xdhg〕
瓴	〔亽龴瓦 · jkrw〕
脔	〔亠冂人 · zcmj〕
舨	〔舟⺁又 · ixry〕
葎	〔艹彳聿 · lwbv〕
迓	〔牙辶 · luc〕
崞	〔山子 · vghi〕
畋	〔田攵 · qhp〕
痧	〔疒氵𡭔丿 · akyt〕
窳	〔穴瓜瓜 · eyyg〕
羧	〔⺶厶八夊 · gkhh〕
艽	〔艹九 · lkj〕
葑	〔艹土土寸 · lggk〕
蛏	〔虫又土 · crgt〕
蜣	〔虫⺶乚 · cgae〕
醣	〔酉广肀口 · yxbd〕
钣	〔钅⺁又 · zxry〕
颎	〔匕火页 · vcwy〕
髑	〔骨罒勹虫 · fync〕
黧	〔禾黑 · xpph〕
喾	〔⺍冖⺧口 · kwqd〕
帔	〔巾皮 · rrp〕
殄	〔歹人彡 · gjes〕
甙	〔弋甘 · pzg〕
秫	〔禾木丶 · xeid〕
蠛	〔虫艹罒丶 · clyi〕
踟	〔⻊矢口 · podk〕
逑	〔一氺丶辶 · fkiu〕
镔	〔钅宀 · zwth〕
驺	〔马⺈彐 · nxbj〕
鼗	〔儿冫支 · pwwc〕
硖	〔石夫丷 · mhhb〕
罟	〔罒古 · ycg〕
裎	〔衤口王 · tdnw〕
蹰	〔⻊厂豆寸 · pxzk〕
邰	〔厶口阝 · kdte〕
髌	〔骨宀 · fwth〕
麸	〔龶夂夫 · ahhf〕
岵	〔山古 · vcg〕
暌	〔日癶一大 · ohfm〕
暝	〔日冖日六 · owoa〕
欹	〔大可欠 · mzeq〕
窀	〔穴一 · efsc〕
蓼	〔艹羽人彡 · lzje〕
骘	〔阝止马 · tssn〕
孥	〔女又子 · brhi〕
幛	〔巾音十 · rxns〕
愦	〔忄贝 · hcob〕
肷	〔月欠 · veq〕
薹	〔艹士口至 · lgdy〕
钎	〔钅千 · zlq〕
钭	〔钅斗 · zjd〕
镬	〔钅艹隹又 · zlur〕
曩	〔日衣口一 · otdf〕
泔	〔氵甘 · kzg〕
溘	〔氵土厶皿 · kgka〕
粝	〔米厂一 · pxfp〕
荽	〔艹爫女 · lybn〕
蚍	〔虫匕 · cvvb〕
蚶	〔虫甘 · czg〕
衄	〔丿皿ヿ土 · taag〕
裉	〔衤艮 · tig〕
鹈	〔丷𢎨鸟 · htxn〕
圉	〔囗土 · rggy〕
嫘	〔女田糸 · bqis〕
旒	〔方𠂉 · lebo〕
箪	〔⺮丷田十 · rhqn〕
粢	〔冫欠米 · wepm〕
裼	〔衤日勹 · tone〕
跫	〔工几丶足 · uoip〕
酃	〔⻗口口阝 · tddt〕
殳	〔殳 · rs rss〕
瀣	〔氵歺又一 · kgrf〕
皤	〔白丿米田 · utpq〕
睃	〔目厶八夊 · qkhh〕
脘	〔月宀二儿 · vwmp〕
莪	〔艹丿扌戈 · ltup〕
雞	〔爫幺大隹 · yimu〕
哌	〔口⺁ · dxti〕
甯	〔宀心 · whty〕
疠	〔疒一 · afpd〕
疴	〔疒可 · azk〕
胙	〔月乍 · vwa〕
蚰	〔虫由 · cdy〕
螬	〔虫一曲曰 · cfyo〕
谵	〔讠⺈厂言 · sxxs〕
鐾	〔尸口辛金 · cdnz〕
钌	〔钅了 · zrl〕
鳔	〔鱼覀示 · wvfs〕
彘	〔彑矢匕 · bovv〕
罾	〔罒丷囗曰 · yhro〕
鄞	〔廿口龶阝 · ldat〕
醵	〔酉虍豕 · yzjs〕
隹	〔隹 · ui uii〕
鳢	〔鱼曲豆 · wyzd〕
鹪	〔隹灬鸟 · ucxn〕
旄	〔方𠂉毛 · levm〕
绨	〔纟丷𢎨 · ihtf〕
蕖	〔艹氵匚木 · lkne〕
虮	〔虫几 · coj〕
蝽	〔虫㇏日 · caio〕
尥	〔尢勹丶 · onid〕
煳	〔火古月 · ccvy〕
玎	〔王丁 · nad〕
璁	〔王丿囗心 · ntrh〕
罱	〔罒十冂 · ynmg〕
萑	〔艹隹 · lui〕
钫	〔钅方 · zlf〕
锱	〔钅巛田 · zoqt〕
悱	〔忄非 · hrf〕
捩	〔扌户犬 · ummq〕
榱	〔木衣口一 · etdf〕
濞	〔氵自田丌 · koql〕
瑷	〔王爫冖又 · nywr〕
砹	〔石艹乂 · mlbi〕
窨	〔穴音 · exy〕
篦	〔⺮丿囗匕 · rtrv〕
螽	〔夂⺀虫虫 · hwcc〕
憷	〔忄木木疋 · heet〕
磴	〔石癶豆 · mhzd〕
蘼	〔艹麻非 · lzrf〕
褊	〔衤户 · tmic〕
貔	〔豸丿囗匕 · mtrv〕
跖	〔⻊石 · pms〕
辊	〔日匕 · yovv〕
逯	〔氺辶 · bkuc〕
嵝	〔山米女 · vpbn〕
糗	〔米自犬 · pomq〕
蝣	〔虫方𠂉子 · cleh〕
鳚	〔鱼尸示寸 · wcfk〕
麇	〔鹿禾 · xxh〕
曛	〔日千黑 · olph〕
湔	〔氵䒑⺝刂 · khvp〕
癔	〔疒音心 · axhx〕
肜	〔月彡 · ves〕
醐	〔酉古月 · ycvy〕
嬲	〔女田力力 · bqss〕
庀	〔广匕 · xvb〕
猡	〔犭罒夕 · mylx〕
玢	〔王八刀 · nhpd〕
皴	〔厶八夊皮 · khhr〕
筇	〔⺮工阝 · rute〕
艨	〔舟艹冖豕 · ilwj〕
袼	〔衤各 · tsg〕
轫	〔刀丶 · ypid〕
逭	〔宀㠯辶 · wkuc〕
遄	〔山而辶 · vluc〕
钯	〔钅巴 · zmb〕
髀	〔骨白丿十 · futn〕
敫	〔白方攵 · ulhp〕
朊	〔月二儿 · vmpe〕
槔	〔木白大十 · eumn〕
沔	〔氵一丨㇆ · kfga〕
泶	〔⺍冖水 · kwks〕
蒌	〔艹米女 · lpbn〕
蛲	〔虫一儿 · cpfp〕
蹀	〔⻊廿㇗木 · plae〕
鹾	〔⺊囗乂工 · yrbu〕
泮	〔氵丷 · khus〕
浼	〔氵 · kwpe〕
犸	〔犭马 · mnm〕
苊	〔艹厂⺋ · lxzj〕
薅	〔艹女辰寸 · lbfk〕
酽	〔酉一厂 · yfcx〕
鲔	〔鱼𠂇⺝ · wnvy〕
嵛	〔山亼⺝刂 · vjvp〕
樘	〔木土 · esgt〕
獍	〔犭音儿 · mxpe〕
祆	〔礻一大 · ffmd〕
窭	〔穴米女 · epbn〕
銎	〔工几丶金 · uoiz〕
喱	〔口厂里 · dxdl〕
捭	〔扌白丿十 · uutn〕
湓	〔氵八刀皿 · khpa〕
缡	〔纟亠㐅禸 · izbv〕
藁	〔艹高木 · lgem〕
迕	〔𠂉十辶 · enuc〕
酐	〔酉干 · yeg〕
瞋	〔目十目 · qnqh〕
偬	〔亻勹心 · jneh〕
搴	〔宀手 · wqhu〕
砬	〔石立 · mil〕
肭	〔月冂人 · vmjr〕
舾	〔舟西 · ivx〕
莩	〔艹爫子 · lyhi〕
葚	〔艹㇗ · lzha〕
鲃	〔鱼巴 · wmb〕
鹱	〔鸟艹隹又 · xlur〕
侉	〔亻大二ㄅ · jmma〕
渖	〔氵宀日丨 · kwog〕
璩	〔王虍豕 · nzjs〕
篯	〔⺮钅一戈 · rzfp〕
糇	〔米亻矢 · pjno〕
芑	〔艹己 · lvj〕
褰	〔宀衣 · wqht〕
铋	〔钅心丿 · zhtp〕
鳙	〔鱼广肀 · wxbt〕
仫	〔亻丿厶 · jtks〕
岣	〔山句 · vgj〕
庹	〔广廿尸丶 · xlci〕
戥	〔日生戈 · olpg〕
杪	〔木𡭔丿 · eytp〕
漯	〔氵田糸 · kqis〕
甾	〔巛田 · oqt〕
籼	〔米山 · pvs〕
锊	〔钅爫寸 · zykc〕
溏	〔氵广肀口 · kxbd〕
穸	〔穴夕 · elx〕
酡	〔酉宀匕 · ywvb〕
铒	〔钅耳 · zqe〕
铯	〔钅⺈巴 · zxmb〕
鞔	〔革 · twpe〕
鲚	〔鱼齐 · wqq〕
哏	〔口艮 · dig〕
敉	〔米攵 · php〕
燹	〔豕豕火 · jjch〕
豉	〔豆支 · zci〕
醭	〔酉业⺶㇏ · ycgi〕
钇	〔钅乙 · zai〕
锼	〔钅臼丨又 · zpgr〕
磙	〔石衣八厶 · mthk〕
祕	〔礻心丿 · fhtp〕
菘	〔艹木八厶 · lehk〕
钔	〔钅门 · zam〕
锜	〔钅大可 · zmzk〕
炱	〔厶口火 · kdch〕
茭	〔艹六乂 · labi〕
锿	〔钅衣口 · ztdk〕
骢	〔马丿囗心 · ntrh〕
仡	〔亻𠂉乙 · jeai〕
垴	〔土亠㐅凵 · gzbm〕
炻	〔火石 · cms〕
琚	〔王尸古 · nccg〕
疳	〔疒甘 · azg〕
镗	〔钅土 · zsgt〕
鸺	〔亻木鸟 · jexn〕
搠	〔扌䒑月 · uhsv〕
砜	〔石⺇乂 · mobi〕
隰	〔阝日幺灬 · toic〕
刿	〔山夕刂 · vlpd〕
桤	〔木山己 · evvj〕
瓿	〔立口瓦 · idrw〕
缧	〔纟田糸 · iqis〕
荸	〔艹十冖子 · lnwh〕
菡	〔艹乛氺凵 · lakm〕
馇	〔饣木日一 · qeof〕
鳇	〔鱼白王 · wunw〕
栌	〔木⺊尸 · eycs〕
溲	〔氵臼丨又 · kpgr〕
艚	〔舟一曲曰 · ifyo〕
锝	〔钅日一寸 · zofk〕
鹮	〔罒一口鸟 · yfdx〕
仵	〔亻𠂉十 · jens〕
嶷	〔山匕矢疋 · vvot〕
殍	〔歹爫子 · gyhi〕
煺	〔火艮辶 · ciuc〕
羼	〔尸羊⺶羊 · cggg〕
葜	〔艹丰刀大 · lapm〕
谂	〔讠亽心 · sjah〕
镅	〔钅目 · zcqm〕
鲷	〔鱼冂土口 · wmgd〕
吣	〔口心 · dhx〕
氙	〔气山 · vvs〕
硭	〔石艹亡 · mlfw〕
窬	〔穴亼⺝刂 · ejvp〕
蒴	〔艹䒑月 · lhsv〕
铑	〔钅老 · zql〕
哿	〔力口可 · sdzk〕
窆	〔穴丿之 · etri〕
筌	〔⺮人王 · rjnw〕
蟥	〔虫黄 · cnh〕
锍	〔钅 · zboc〕
鸸	〔而鸟 · lxn〕
橥	〔犭耂日木 · mqoe〕
甓	〔尸口辛瓦 · cdnr〕
硇	〔石丿囗乂 · mtrb〕
苒	〔艹冂土 · lmgt〕
蒡	〔艹冖方 · liwl〕
鞲	〔革一土 · tqfg〕
鸲	〔句鸟 · gxn〕
喹	〔口大土土 · dmgg〕
囧	〔囗八冂 · rhmk〕
檠	〔艹句攵木 · lghe〕
爨	〔冂一火 · pmfc〕
艟	〔舟立里 · iidl〕
跶	〔⻊大辶 · pmuc〕
辂	〔各 · ysg〕
镓	〔钅宀豕 · zwjs〕
髟	〔镸彡 · pes〕
涠	〔氵囗韦 · krgw〕
葳	〔艹戊一女 · lnfb〕
邴	〔一冂人阝 · fmjt〕
铙	〔钅一儿 · zpfp〕
锪	〔钅勹心 · zneh〕
胩	〔月⺊一卜 · vyfy〕
镄	〔钅弗贝 · ztob〕
眬	〔目龙 · qtl〕
蕤	〔艹豕生 · ljls〕
翥	〔耂日羽 · qozv〕
耒	〔耒 · al all〕
躔	〔⻊广里土 · pxdg〕
黥	〔小 · pgyx〕
箬	〔⺮艹𠂇口 · rlnd〕
谮	〔讠旡旡曰 · sddo〕
唸	〔口亽心 · djah〕
訾	〔匕言 · svsy〕
戢	〔口耳戈 · dqpg〕
檑	〔木⻗田 · etqt〕
襦	〔衤⻗而 · ttle〕
歃	〔千臼欠 · lpeq〕
瘌	〔疒束刂 · axpd〕
潋	〔氵亼⺍攵 · kjkh〕
纛	〔龶母目糸 · akqi〕
蓍	〔艹老日 · lqor〕
徼	〔彳白方攵 · wulh〕
杌	〔木一儿 · efpe〕
芈	〔芈 · gy gyy〕
滹	〔氵虍丿 · kztn〕
爿	〔爿 · ap〕
謦	〔士殳言 · gcrs〕
狴	〔犭匕土 · mvvg〕
玟	〔王文 · nvw〕
眭	〔目土土 · qggt〕
貅	〔豸亻木 · mjem〕
郜	〔⺧口阝 · qdte〕
娈	〔亠女 · zcbn〕
嫫	〔女艹日大 · blom〕
搦	〔扌弓冫冫 · ubww〕
瑗	〔王爫一又 · nyfr〕
柰	〔木示 · efs〕
殂	〔歹且 · gfq〕
糨	〔米弓口虫 · pbdc〕
绐	〔纟厶口 · ikdk〕
沭	〔氵木丶 · keid〕
犴	〔犭干 · meg〕
蕈	〔艹覀日十 · lvon〕
谳	〔讠十冂犬 · snmm〕
坻	〔土氏丶 · gbid〕
怿	〔忄又 · hrus〕
牠	〔牜也 · qey〕
翮	〔鬲羽 · nzv〕
耋	〔老至 · qyi〕
尻	〔尸九 · ckj〕
棹	〔木⺊日十 · eyon〕
阼	〔阝乍 · twa〕
骝	〔马田 · nbqt〕
撄	〔扌贝贝女 · uoob〕
柒	〔氵七木 · krem〕
侑	〔亻𠂇⺝ · jnvy〕
悝	〔忄里 · hdl〕
欷	〔㐅𠂇巾欠 · bnre〕
洇	〔氵囗大 · krmd〕
燠	〔火丿冂大 · ctmm〕
坩	〔土甘 · gzg〕
媵	〔月丷夫女 · vhhb〕
徂	〔彳且 · wfq〕
旰	〔日干 · oeg〕
洎	〔氵自 · koi〕
澌	〔氵斤 · kzht〕
妧	〔女二儿 · bmpe〕
廨	〔广⺈用牛 · xxtq〕
缵	〔纟⺧儿贝 · iqpo〕
裒	〔衣臼 · tpj〕
觇	〔⺊口见 · ydej〕
